area_id,ref_year,sexid,agegrpstart,nmx,nqx,ndx,npx,lx,nlx,tx,ex
AC,2020,female,40,0.00176,0.008752752,839.9652108,0.991247248,95965.8439,477729.3065,3953797.352,41.20004776
AC,2020,female,45,0.00285,0.014155988,1346.600839,0.985844012,95125.87869,472262.8913,3476068.046,36.54177069
AC,2020,female,50,0.00484,0.023890359,2240.420639,0.976109641,93779.27785,463295.3376,3003805.154,32.03058526
AC,2020,female,55,0.00813,0.039843771,3647.253227,0.960156229,91538.85721,448576.153,2540509.817,27.75334862
AC,2020,female,60,0.0126,0.061060424,5366.698644,0.938939576,87891.60398,426041.2733,2091933.664,23.80129124
AC,2020,female,65,0.01443,0.06964901,5747.777971,0.93035099,82524.90534,398255.0818,1665892.39,20.18654107
AC,2020,female,70,0.02159,0.102407797,7862.576495,0.897592203,76777.12737,364229.1956,1267637.309,16.51061133
AC,2020,female,75,0.03486,0.160341223,11049.84334,0.839658777,68914.55087,316948.146,903408.1131,13.10910543
AC,2020,female,80,0.05938,0.258536145,14960.11843,0.741463855,57864.70753,251923.2415,586459.9671,10.13501998
AC,2020,female,85,0.10038,0.401211789,17213.82692,0.598788211,42904.58909,171488.3782,334536.7256,7.797224788
AC,2020,female,90,0.15757,1,25690.76217,0,25690.76217,163048.3474,163048.3474,6.346574943
AC,2020,male,0,0.01633,0.016092285,1609.228531,0.983907715,100000,98533.61515,7186648.349,71.86648349
AC,2020,male,1,0.0006,0.00239712,235.8545184,0.99760288,98390.77147,392998.0997,7088114.733,72.04044269
AC,2020,male,5,0.00022,0.001111238,109.0734572,0.998888762,98154.91695,490501.9011,6695116.634,68.2096918
AC,2020,male,10,0.00041,0.002063734,202.3405379,0.997936266,98045.84349,489723.3661,6204614.733,63.28279213
AC,2020,male,15,0.00168,0.008346622,816.6627646,0.991653378,97843.50296,487175.8579,5714891.367,58.40849105
AC,2020,male,20,0.00217,0.010810792,1048.936982,0.989189208,97026.84019,482511.8585,5227715.509,53.87906582
AC,2020,male,25,0.00224,0.01115355,1070.494377,0.98884645,95977.90321,477213.2801,4745203.65,49.44058467
AC,2020,male,30,0.00287,0.014241864,1351.658399,0.985758136,94907.40883,471157.8982,4267990.37,44.9700442
AC,2020,male,35,0.00331,0.016412042,1535.440898,0.983587958,93555.75043,463940.1499,3796832.472,40.58363547
AC,2020,male,40,0.0045,0.022254272,2047.845024,0.977745728,92020.30954,454981.9351,3332892.322,36.21909488
AC,2020,male,45,0.00623,0.030683625,2760.681402,0.969316375,89972.46451,442960.619,2877910.387,31.98656836
AC,2020,male,50,0.00785,0.038474342,3355.415988,0.961525658,87211.78311,427670.3756,2434949.768,27.91996312
AC,2020,male,55,0.01221,0.059237257,4967.42116,0.940762743,83856.36712,406863.2827,2007279.392,23.93711368
AC,2020,male,60,0.0168,0.08061771,6359.846183,0.91938229,78888.94596,378545.1143,1600416.11,20.28695009
AC,2020,male,65,0.02199,0.104228825,7559.622824,0.895771175,72529.09978,343746.4418,1221870.995,16.8466312
AC,2020,male,70,0.03627,0.166260173,10801.83649,0.833739827,64969.47695,297842.7935,878124.5534,13.51595541
AC,2020,male,75,0.05909,0.257427359,13944.23265,0.742572641,54167.64046,235977.6207,580281.7598,10.71270144
AC,2020,male,80,0.08053,0.335182142,13482.16798,0.664817858,40223.40781,167411.6191,344304.1392,8.559795351
