area_id,ref_year,period,midperiod,sexid,sex,agegrp,agegrpstart,agegrpspan,nmx,nqx,npx,lx,ndx,nlx,nsx,tx,ex,nax,area_name,area_iso3
76,2020,2020-2025,2023,1,Male,70-74,70,5,0.03324798,0.15391146,0.84608854,66239,10195,306632,0.81294895,931286,14.06,2.590803,Brazil,BRA
76,2020,2020-2025,2023,1,Male,75-79,75,5,0.05109283,0.22725481,0.77274519,56044,12736,249277,0.7277526,624654,11.146,2.570483,Brazil,BRA
76,2020,2020-2025,2023,1,Male,80-84,80,5,0.07772993,0.32560334,0.67439666,43308,14101,181412,0.61939997,375377,8.668,2.508949,Brazil,BRA
76,2020,2020-2025,2023,1,Male,85-89,85,5,0.11603596,0.44642546,0.55357454,29207,13039,112366,0.49582284,193966,6.641,2.41794,Brazil,BRA
76,2020,2020-2025,2023,1,Male,90-94,90,5,0.16728692,0.57645942,0.42354058,16168,9320,55714,0.36405194,81599,5.047,2.304116,Brazil,BRA
76,2020,2020-2025,2023,1,Male,95-99,95,5,0.24141742,0.71506197,0.28493803,6848,4897,20283,0.21644493,25886,3.78,2.149802,Brazil,BRA
76,2020,2020-2025,2023,1,Male,95+,95,-1,0.264544541,1,0,6848,6848,25886,0,25886,3.78,3.78,Brazil,BRA
76,2020,2020-2025,2023,1,Male,100+,100,-1,0.34825506,1,0,1951,1951,5603,0,5603,2.871,2.871459,Brazil,BRA
76,2020,2020-2025,2023,2,Female,0-4,0,5,0.002379532,0.01177,0.98823,100000,1177,494635,0.98927,8014480,80.145,0.441801189,Brazil,BRA
76,2020,2020-2025,2023,2,Female,5-9,5,5,0.00014993,0.00074938,0.99925062,98823,74,493931,0.99901914,7519844,76.094,2.5,Brazil,BRA
76,2020,2020-2025,2023,2,Female,10-14,10,5,0.00024265,0.00121251,0.99878749,98749,120,493447,0.9984341,7025913,71.149,2.5,Brazil,BRA
76,2020,2020-2025,2023,2,Female,15-19,15,5,0.00041146,0.0020553,0.9979447,98630,203,492674,0.99760556,6532466,66.232,2.664914,Brazil,BRA
76,2020,2020-2025,2023,2,Female,20-24,20,5,0.00053771,0.00268507,0.99731493,98427,264,491495,0.9971566,6039792,61.363,2.58037,Brazil,BRA
76,2020,2020-2025,2023,2,Female,25-29,25,5,0.00060841,0.00303763,0.99696237,98163,298,490097,0.99636623,5548297,56.522,2.600232,Brazil,BRA
76,2020,2020-2025,2023,2,Female,30-34,30,5,0.00087526,0.0043673,0.9956327,97864,427,488316,0.99476485,5058200,51.686,2.64729,Brazil,BRA
76,2020,2020-2025,2023,2,Female,35-39,35,5,0.00124464,0.006205,0.993795,97437,605,485760,0.99262618,4569884,46.901,2.643142,Brazil,BRA
76,2020,2020-2025,2023,2,Female,40-44,40,5,0.00176172,0.00877251,0.99122749,96832,849,482178,0.98887241,4084124,42.177,2.664554,Brazil,BRA
76,2020,2020-2025,2023,2,Female,45-49,45,5,0.00279078,0.01386373,0.98613627,95983,1331,476812,0.98312565,3601946,37.527,2.668834,Brazil,BRA
76,2020,2020-2025,2023,2,Female,50-54,50,5,0.00407391,0.02017608,0.97982392,94652,1910,468767,0.97580255,3125133,33.017,2.646484,Brazil,BRA
76,2020,2020-2025,2023,2,Female,55-59,55,5,0.00587193,0.02896145,0.97103855,92743,2686,457424,0.96353955,2656367,28.642,2.658587,Brazil,BRA
76,2020,2020-2025,2023,2,Female,60-64,60,5,0.00924923,0.04526668,0.95473332,90057,4077,440746,0.94446535,2198943,24.417,2.660523,Brazil,BRA
76,2020,2020-2025,2023,2,Female,65-69,65,5,0.01391806,0.06738378,0.93261622,85980,5794,416269,0.91663261,1758198,20.449,2.647276,Brazil,BRA
76,2020,2020-2025,2023,2,Female,70-74,70,5,0.02155587,0.10257338,0.89742662,80186,8225,381566,0.8711305,1341929,16.735,2.645484,Brazil,BRA
